ds,y
2014-07-02,3256.306849315068
2014-07-03,3251.6356164383556
2014-07-04,3245.915068493151
2014-07-05,3234.879452054795
2014-07-06,3229.509589041096
2014-07-07,3234.6520547945206
2014-07-08,3229.7506849315073
2014-07-09,3226.758904109589
2014-07-10,3223.553424657534
2014-07-11,3219.153424657534
2014-07-12,3209.271232876712
2014-07-13,3205.890410958904
2014-07-14,3211.178082191781
2014-07-15,3205.68493150685
2014-07-16,3199.1260273972607
2014-07-17,3184.81095890411
2014-07-18,3176.2575342465752
2014-07-19,3167.2164383561644
2014-07-20,3164.087671232877
2014-07-21,3168.068493150685
2014-07-22,3161.526027397261
2014-07-23,3153.8301369863016
2014-07-24,3149.6082191780824
2014-07-25,3142.663013698631
2014-07-26,3131.345205479452
2014-07-27,3127.030136986302
2014-07-28,3132.386301369863
2014-07-29,3128.33698630137
2014-07-30,3125.158904109589
2014-07-31,3122.594520547945
2014-08-01,3121.3260273972605
2014-08-02,3115.4000000000005
2014-08-03,3113.6465753424663
2014-08-04,3119.5890410958905
2014-08-05,3118.567123287671
2014-08-06,3117.1835616438357
2014-08-07,3115.408219178082
2014-08-08,3113.567123287671
2014-08-09,3107.939726027397
2014-08-10,3106.5424657534245
2014-08-11,3112.5260273972603
2014-08-12,3110.93698630137
2014-08-13,3109.0246575342467
2014-08-14,3109.706849315068
2014-08-15,3109.1835616438357
2014-08-16,3104.6630136986305
2014-08-17,3103.8301369863016
2014-08-18,3104.457534246576
2014-08-19,3109.1123287671235
2014-08-20,3106.276712328767
2014-08-21,3104.460273972603
2014-08-22,3102.164383561644
2014-08-23,3095.608219178083
2014-08-24,3094.271232876713
2014-08-25,3100.87397260274
2014-08-26,3098.794520547946
2014-08-27,3097.3972602739736
2014-08-28,3095.3643835616444
2014-08-29,3093.6301369863017
2014-08-30,3088.0383561643844
2014-08-31,3086.8082191780827
2014-09-01,3092.427397260275
2014-09-02,3090.482191780823
2014-09-03,3089.1561643835626
2014-09-04,3088.131506849316
2014-09-05,3087.767123287672
2014-09-06,3082.950684931507
2014-09-07,3080.005479452055
2014-09-08,3081.2356164383564
2014-09-09,3076.0273972602745
2014-09-10,3073.0328767123287
2014-09-11,3069.5424657534245
2014-09-12,3067.3479452054794
2014-09-13,3061.1561643835616
2014-09-14,3059.3150684931506
2014-09-15,3064.347945205479
2014-09-16,3060.92602739726
2014-09-17,3058.7726027397257
2014-09-18,3056.7506849315064
2014-09-19,3055.832876712329
2014-09-20,3051.260273972603
2014-09-21,3051.0
2014-09-22,3057.5643835616434
2014-09-23,3056.643835616438
2014-09-24,3056.7232876712324
2014-09-25,3057.1698630136984
2014-09-26,3057.706849315068
2014-09-27,3053.0383561643835
2014-09-28,3053.139726027397
2014-09-29,3060.9972602739717
2014-09-30,3061.901369863013
2014-10-01,3061.3068493150677
2014-10-02,3061.4794520547935
2014-10-03,3056.8109589041082
2014-10-04,3050.687671232876
2014-10-05,3048.7726027397257
2014-10-06,3053.7506849315064
2014-10-07,3050.2191780821913
2014-10-08,3048.2054794520545
2014-10-09,3046.8383561643836
2014-10-10,3045.328767123288
2014-10-11,3039.3780821917812
2014-10-12,3037.846575342466
2014-10-13,3045.4383561643835
2014-10-14,3043.8876712328765
2014-10-15,3042.4465753424665
2014-10-16,3042.298630136987
2014-10-17,3041.109589041096
2014-10-18,3040.4986301369863
2014-10-19,3039.660273972603
2014-10-20,3048.178082191781
2014-10-21,3047.6219178082188
2014-10-22,3045.8602739726025
2014-10-23,3043.999999999999
2014-10-24,3041.5972602739716
2014-10-25,3034.8410958904105
2014-10-26,3033.8876712328756
2014-10-27,3041.5369863013693
2014-10-28,3040.216438356164
2014-10-29,3037.7698630136983
2014-10-30,3035.271232876712
2014-10-31,3033.5287671232873
2014-11-01,3026.698630136986
2014-11-02,3025.909589041096
2014-11-03,3035.449315068493
2014-11-04,3036.057534246575
2014-11-05,3034.750684931507
2014-11-06,3033.27397260274
2014-11-07,3031.8356164383554
2014-11-08,3025.756164383561
2014-11-09,3024.465753424657
2014-11-10,3033.383561643835
2014-11-11,3030.8657534246568
2014-11-12,3029.142465753424
2014-11-13,3027.12602739726
2014-11-14,3025.019178082191
2014-11-15,3018.164383561643
2014-11-16,3017.2986301369856
2014-11-17,3017.534246575342
2014-11-18,3026.1150684931504
2014-11-19,3024.2958904109587
2014-11-20,3023.953424657534
2014-11-21,3023.7671232876714
2014-11-22,3016.4794520547944
2014-11-23,3015.180821917808
2014-11-24,3025.219178082192
2014-11-25,3020.2575342465757
2014-11-26,3015.967123287671
2014-11-27,3015.5287671232873
2014-11-28,3016.958904109589
2014-11-29,3008.8219178082195
2014-11-30,3007.805479452055
2014-12-01,3020.4164383561647
2014-12-02,3019.1726027397267
2014-12-03,3017.4438356164387
2014-12-04,3016.391780821918
2014-12-05,3016.8630136986308
2014-12-06,3009.789041095891
2014-12-07,3009.9643835616444
2014-12-08,3022.616438356165
2014-12-09,3022.613698630138
2014-12-10,3022.424657534247
2014-12-11,3022.6684931506857
2014-12-12,3021.4082191780826
2014-12-13,3014.720547945206
