ds,y
2014-01-07,3781.9166666666665
2014-01-08,3954.541666666666
2014-01-09,4152.375
2014-01-10,4444.708333333333
2014-01-11,4725.583333333333
2014-01-12,4726.291666666666
2014-01-13,4462.5
2014-01-14,4374.125
2014-01-15,4464.333333333333
2014-01-16,4510.625
2014-01-17,4657.083333333333
2014-01-18,4969.791666666666
2014-01-19,5025.916666666666
2014-01-20,4746.125
2014-01-21,4425.541666666666
2014-01-22,4201.125
2014-01-23,4104.458333333333
2014-01-24,4138.583333333333
2014-01-25,4248.25
2014-01-26,4116.208333333333
2014-01-27,3724.833333333333
2014-01-28,3464.5416666666665
2014-01-29,3318.25
2014-01-30,3137.7916666666665
2014-01-31,3079.4999999999995
2014-02-01,3168.583333333333
2014-02-02,3080.2916666666665
2014-02-03,2774.0416666666665
2014-02-04,2592.125
2014-02-05,2563.6249999999995
2014-02-06,2559.7499999999995
2014-02-07,2635.666666666666
2014-02-08,2789.708333333333
2014-02-09,2779.0
2014-02-10,2603.5416666666665
2014-02-11,2453.5416666666665
2014-02-12,2425.583333333333
2014-02-13,2489.708333333333
2014-02-14,2615.875
2014-02-15,2814.708333333333
2014-02-16,2822.0
2014-02-17,2624.5416666666665
2014-02-18,2539.4166666666665
2014-02-19,2563.875
2014-02-20,2592.458333333333
2014-02-21,2696.125
2014-02-22,2848.0
2014-02-23,2897.375
2014-02-24,2745.958333333333
2014-02-25,2613.75
2014-02-26,2599.583333333333
2014-02-27,2591.833333333333
2014-02-28,2670.5
2014-03-01,2832.625
2014-03-02,2848.958333333333
2014-03-03,2765.7916666666665
2014-03-04,2820.1666666666665
2014-03-05,2927.458333333333
2014-03-06,3024.458333333333
2014-03-07,3191.375
2014-03-08,3410.5416666666665
2014-03-09,3438.6666666666665
2014-03-10,3275.875
2014-03-11,3223.125
2014-03-12,3282.958333333333
2014-03-13,3342.458333333333
2014-03-14,3420.875
2014-03-15,3466.625
2014-03-16,3296.875
2014-03-17,2989.0
2014-03-18,2805.9583333333335
2014-03-19,2726.1666666666665
2014-03-20,2659.916666666666
2014-03-21,2683.666666666666
2014-03-22,2792.708333333333
2014-03-23,2728.75
2014-03-24,2485.791666666667
2014-03-25,2350.0416666666665
2014-03-26,2354.458333333333
2014-03-27,2396.708333333333
2014-03-28,2510.2083333333335
2014-03-29,2706.25
2014-03-30,2733.708333333333
2014-03-31,2581.1666666666665
2014-04-01,2575.4166666666665
2014-04-02,2696.6666666666665
2014-04-03,2799.0
2014-04-04,2957.833333333333
2014-04-05,3183.458333333333
2014-04-06,3227.708333333333
2014-04-07,3059.7499999999995
2014-04-08,2998.708333333333
2014-04-09,3073.083333333333
2014-04-10,3115.1249999999995
2014-04-11,3212.833333333333
2014-04-12,3320.25
2014-04-13,3198.416666666666
2014-04-14,2933.708333333333
2014-04-15,2802.375
2014-04-16,2830.083333333333
2014-04-17,2891.125
2014-04-18,3031.25
2014-04-19,3240.833333333333
2014-04-20,3225.25
2014-04-21,2995.75
2014-04-22,2932.208333333333
2014-04-23,3014.5
2014-04-24,3179.5
2014-04-25,3433.25
2014-04-26,3677.6249999999995
2014-04-27,3696.8749999999995
2014-04-28,3454.166666666666
2014-04-29,3303.875
2014-04-30,3292.291666666666
2014-05-01,3312.958333333333
2014-05-02,3439.9999999999995
2014-05-03,3637.833333333333
2014-05-04,3604.375
2014-05-05,3338.166666666666
2014-05-06,3201.9166666666665
2014-05-07,3210.0
2014-05-08,3227.1666666666665
2014-05-09,3342.0416666666665
2014-05-10,3551.208333333333
2014-05-11,3545.4166666666665
2014-05-12,3310.4166666666665
2014-05-13,3072.083333333333
2014-05-14,3011.9166666666665
2014-05-15,3114.458333333333
2014-05-16,3293.9999999999995
2014-05-17,3563.375
2014-05-18,3579.333333333333
2014-05-19,3333.75
2014-05-20,3290.25
2014-05-21,3473.125
2014-05-22,3646.958333333333
2014-05-23,3871.4166666666665
2014-05-24,4175.708333333333
2014-05-25,4347.541666666666
2014-05-26,4214.875
2014-05-27,4125.958333333333
2014-05-28,4239.041666666666
2014-05-29,4341.75
2014-05-30,4513.666666666666
2014-05-31,4757.25
2014-06-01,4690.833333333333
2014-06-02,4297.791666666666
2014-06-03,4102.5
2014-06-04,4114.875
2014-06-05,4133.0
2014-06-06,4262.125
2014-06-07,4471.375
2014-06-08,4371.041666666666
2014-06-09,3978.625
2014-06-10,3767.416666666667
2014-06-11,3762.458333333333
2014-06-12,3773.375
2014-06-13,3914.541666666666
2014-06-14,4179.416666666666
2014-06-15,4145.25
2014-06-16,3836.9999999999995
2014-06-17,3727.875
2014-06-18,3816.5416666666665
2014-06-19,3928.9166666666665
2014-06-20,4143.333333333333
2014-06-21,4467.416666666666
2014-06-22,4482.083333333333
2014-06-23,4183.458333333333
2014-06-24,4126.375
2014-06-25,4111.916666666667
2014-06-26,4045.6666666666665
2014-06-27,4214.083333333333
2014-06-28,4451.541666666666
2014-06-29,4375.583333333333
2014-06-30,4007.958333333333
2014-07-01,3806.208333333333
2014-07-02,3762.9999999999995
2014-07-03,3701.583333333333
2014-07-04,3799.125
2014-07-05,4028.4166666666665
2014-07-06,3924.583333333333
2014-07-07,3670.0416666666665
2014-07-08,3589.75
2014-07-09,3545.9166666666665
2014-07-10,3549.75
2014-07-11,3674.458333333333
2014-07-12,3885.75
2014-07-13,3843.0416666666665
2014-07-14,3559.708333333333
2014-07-15,3422.7916666666665
2014-07-16,3402.291666666666
2014-07-17,3401.4166666666665
2014-07-18,3541.375
2014-07-19,3761.416666666666
2014-07-20,3730.666666666666
2014-07-21,3465.041666666666
2014-07-22,3324.541666666666
2014-07-23,3319.5
2014-07-24,3345.458333333333
2014-07-25,3469.8749999999995
2014-07-26,3672.833333333333
2014-07-27,3648.5
2014-07-28,3396.791666666666
2014-07-29,3157.0416666666665
2014-07-30,3061.9166666666665
2014-07-31,3112.375
2014-08-01,3244.333333333333
2014-08-02,3450.708333333333
2014-08-03,3430.25
2014-08-04,3176.375
2014-08-05,3044.375
2014-08-06,3055.625
2014-08-07,3081.1666666666665
2014-08-08,3203.458333333333
2014-08-09,3407.0416666666665
2014-08-10,3485.7916666666665
2014-08-11,3303.4166666666665
2014-08-12,3128.5
2014-08-13,3130.1666666666665
2014-08-14,3142.8749999999995
2014-08-15,3233.625
2014-08-16,3404.5
2014-08-17,3354.7916666666665
2014-08-18,3089.75
2014-08-19,2961.125
2014-08-20,2969.833333333333
2014-08-21,3021.083333333333
2014-08-22,3198.25
2014-08-23,3443.708333333333
2014-08-24,3436.9166666666665
2014-08-25,3188.5416666666665
2014-08-26,2954.5416666666665
2014-08-27,2893.458333333333
2014-08-28,2977.25
2014-08-29,3178.8749999999995
2014-08-30,3459.9166666666665
2014-08-31,3465.7916666666665
2014-09-01,3232.083333333333
2014-09-02,3159.625
2014-09-03,3275.4166666666665
2014-09-04,3706.458333333333
2014-09-05,4259.416666666667
2014-09-06,4602.041666666666
2014-09-07,4812.833333333333
2014-09-08,4759.25
2014-09-09,4715.5
2014-09-10,4782.333333333333
2014-09-11,4824.333333333333
2014-09-12,4988.458333333333
2014-09-13,5213.791666666666
2014-09-14,5142.625
2014-09-15,4777.458333333333
2014-09-16,4267.916666666666
2014-09-17,3881.4166666666665
2014-09-18,3783.875
2014-09-19,3834.0416666666665
2014-09-20,3979.0416666666665
2014-09-21,3862.583333333333
2014-09-22,3512.208333333333
2014-09-23,3332.75
2014-09-24,3298.875
2014-09-25,3296.0416666666665
2014-09-26,3394.875
2014-09-27,3550.7916666666665
2014-09-28,3481.083333333333
2014-09-29,3203.25
2014-09-30,3067.2916666666665
2014-10-01,3034.7916666666665
2014-10-02,3019.25
2014-10-03,3124.5
2014-10-04,3304.4166666666665
2014-10-05,3251.5
2014-10-06,3010.1666666666665
2014-10-07,2793.208333333333
2014-10-08,2701.333333333333
2014-10-09,2740.8749999999995
2014-10-10,2843.8749999999995
2014-10-11,3026.708333333333
2014-10-12,3015.25
2014-10-13,2782.0416666666665
2014-10-14,2663.5416666666665
2014-10-15,2679.583333333333
2014-10-16,2697.5
2014-10-17,2806.7916666666665
2014-10-18,2995.625
2014-10-19,3083.0
2014-10-20,2958.333333333333
2014-10-21,2845.0416666666665
2014-10-22,2865.708333333333
2014-10-23,2877.25
2014-10-24,2945.0
2014-10-25,3093.75
2014-10-26,3055.25
2014-10-27,2822.6666666666665
2014-10-28,2718.75
2014-10-29,2725.708333333333
2014-10-30,2728.5
2014-10-31,2816.625
2014-11-01,2984.583333333333
2014-11-02,2960.7916666666665
2014-11-03,2744.1666666666665
2014-11-04,2638.625
2014-11-05,2587.25
2014-11-06,2546.458333333333
2014-11-07,2646.0416666666665
2014-11-08,2809.375
2014-11-09,2778.5416666666665
2014-11-10,2554.333333333333
2014-11-11,2429.0
2014-11-12,2406.7916666666665
2014-11-13,2390.125
2014-11-14,2474.5416666666665
2014-11-15,2656.958333333333
2014-11-16,2648.4166666666665
2014-11-17,2506.583333333333
2014-11-18,2470.458333333333
2014-11-19,2471.125
2014-11-20,2482.083333333333
2014-11-21,2596.458333333333
2014-11-22,2787.625
2014-11-23,2800.0416666666665
2014-11-24,2628.9166666666665
2014-11-25,2549.375
2014-11-26,2568.0
2014-11-27,2569.1666666666665
2014-11-28,2648.375
2014-11-29,2811.5416666666665
2014-11-30,2794.0416666666665
2014-12-01,2601.208333333333
2014-12-02,2493.958333333333
2014-12-03,2465.5416666666665
2014-12-04,2439.583333333333
2014-12-05,2501.5416666666665
2014-12-06,2661.6666666666665
2014-12-07,2652.083333333333
2014-12-08,2444.0
2014-12-09,2336.2916666666665
2014-12-10,2338.625
2014-12-11,2344.6666666666665
2014-12-12,2426.9166666666665
2014-12-13,2574.5416666666665
2014-12-14,2560.5416666666665
2014-12-15,2383.9166666666665
2014-12-16,2300.5416666666665
2014-12-17,2283.458333333333
2014-12-18,2193.1666666666665
2014-12-19,2097.833333333333
2014-12-20,2063.5416666666665
2014-12-21,1963.7916666666665
2014-12-22,1767.7083333333333
2014-12-23,1657.4166666666665
2014-12-24,1635.208333333333
