ds,y
2014-01-07,980.0
2014-01-08,1076.9166666666665
2014-01-09,1301.1666666666665
2014-01-10,1535.875
2014-01-11,1643.1666666666665
2014-01-12,1624.2916666666665
2014-01-13,1516.0416666666665
2014-01-14,1537.9583333333333
2014-01-15,1669.0416666666665
2014-01-16,1720.125
2014-01-17,1779.0416666666665
2014-01-18,1920.125
2014-01-19,1976.9166666666665
2014-01-20,1879.1249999999998
2014-01-21,1618.625
2014-01-22,1359.3333333333333
2014-01-23,1244.0833333333333
2014-01-24,1206.3333333333333
2014-01-25,1198.3333333333333
2014-01-26,1095.5
2014-01-27,889.7083333333333
2014-01-28,739.5833333333334
2014-01-29,613.0
2014-01-30,446.70833333333337
2014-01-31,318.45833333333337
2014-02-01,264.5833333333333
2014-02-02,216.87499999999997
2014-02-03,138.625
2014-02-04,84.83333333333333
2014-02-05,67.33333333333333
2014-02-06,61.541666666666664
2014-02-07,57.5
2014-02-08,58.41666666666667
2014-02-09,54.58333333333333
2014-02-10,47.91666666666667
2014-02-11,44.666666666666664
2014-02-12,72.58333333333333
2014-02-13,121.54166666666666
2014-02-14,155.70833333333331
2014-02-15,182.16666666666666
2014-02-16,193.5
2014-02-17,190.29166666666663
2014-02-18,200.16666666666666
2014-02-19,213.58333333333331
2014-02-20,218.625
2014-02-21,224.41666666666666
2014-02-22,227.5
2014-02-23,228.54166666666666
2014-02-24,199.08333333333334
2014-02-25,160.83333333333334
2014-02-26,147.45833333333331
2014-02-27,132.75
2014-02-28,122.79166666666666
2014-03-01,125.29166666666666
2014-03-02,125.75
2014-03-03,176.66666666666663
2014-03-04,269.5833333333333
2014-03-05,324.3333333333333
2014-03-06,361.75
2014-03-07,411.25
2014-03-08,456.2083333333333
2014-03-09,463.2083333333333
2014-03-10,443.99999999999994
2014-03-11,457.04166666666663
2014-03-12,494.24999999999994
2014-03-13,528.125
2014-03-14,536.7083333333333
2014-03-15,473.6666666666667
2014-03-16,375.25
2014-03-17,313.2083333333333
2014-03-18,276.2083333333333
2014-03-19,233.125
2014-03-20,192.95833333333331
2014-03-21,175.375
2014-03-22,174.0
2014-03-23,151.875
2014-03-24,112.91666666666666
2014-03-25,78.16666666666666
2014-03-26,68.75
2014-03-27,79.5
2014-03-28,84.12499999999999
2014-03-29,93.20833333333333
2014-03-30,94.83333333333333
2014-03-31,85.04166666666666
2014-04-01,134.20833333333331
2014-04-02,202.375
2014-04-03,227.20833333333331
2014-04-04,248.91666666666666
2014-04-05,272.0833333333333
2014-04-06,285.8333333333333
2014-04-07,280.0833333333333
2014-04-08,284.20833333333337
2014-04-09,318.4583333333333
2014-04-10,340.375
2014-04-11,343.125
2014-04-12,346.66666666666663
2014-04-13,293.375
2014-04-14,225.16666666666666
2014-04-15,217.33333333333331
2014-04-16,242.25
2014-04-17,268.625
2014-04-18,289.3333333333333
2014-04-19,305.0
2014-04-20,293.5
2014-04-21,255.58333333333331
2014-04-22,240.62499999999997
2014-04-23,273.125
2014-04-24,325.875
2014-04-25,364.79166666666663
2014-04-26,378.91666666666663
2014-04-27,365.04166666666663
2014-04-28,317.66666666666663
2014-04-29,276.0833333333333
2014-04-30,253.83333333333331
2014-05-01,245.25
2014-05-02,255.83333333333331
2014-05-03,271.5833333333333
2014-05-04,265.875
2014-05-05,225.5
2014-05-06,197.83333333333331
2014-05-07,200.0
2014-05-08,210.95833333333331
2014-05-09,231.20833333333331
2014-05-10,251.125
2014-05-11,252.66666666666663
2014-05-12,239.79166666666666
2014-05-13,226.375
2014-05-14,239.08333333333331
2014-05-15,278.2083333333333
2014-05-16,321.4583333333333
2014-05-17,364.4583333333333
2014-05-18,362.66666666666663
2014-05-19,330.125
2014-05-20,395.83333333333337
2014-05-21,534.875
2014-05-22,661.2916666666666
2014-05-23,765.0416666666666
2014-05-24,850.8749999999999
2014-05-25,905.6666666666667
2014-05-26,896.5416666666666
2014-05-27,942.9166666666666
2014-05-28,1064.375
2014-05-29,1165.75
2014-05-30,1227.7083333333333
2014-05-31,1258.125
2014-06-01,1179.875
2014-06-02,1017.75
2014-06-03,927.8333333333333
2014-06-04,926.5833333333333
2014-06-05,934.0416666666667
2014-06-06,943.2083333333333
2014-06-07,951.4583333333333
2014-06-08,855.0
2014-06-09,685.625
2014-06-10,583.8333333333333
2014-06-11,565.4583333333333
2014-06-12,572.4166666666666
2014-06-13,611.625
2014-06-14,668.9583333333333
2014-06-15,639.9583333333333
2014-06-16,535.6666666666665
2014-06-17,510.91666666666663
2014-06-18,604.6666666666665
2014-06-19,708.0
2014-06-20,782.2083333333333
2014-06-21,855.8333333333334
2014-06-22,849.4166666666667
2014-06-23,780.4583333333333
2014-06-24,781.875
2014-06-25,781.5
2014-06-26,755.4583333333333
2014-06-27,783.2083333333333
2014-06-28,818.8333333333333
2014-06-29,776.1666666666666
2014-06-30,637.5
2014-07-01,556.1666666666666
2014-07-02,543.9583333333333
2014-07-03,531.0416666666667
2014-07-04,594.7083333333333
2014-07-05,677.25
2014-07-06,655.8333333333333
2014-07-07,610.8333333333333
2014-07-08,620.875
2014-07-09,661.2083333333333
2014-07-10,723.1666666666666
2014-07-11,768.1666666666667
2014-07-12,786.0833333333333
2014-07-13,749.2083333333334
2014-07-14,680.625
2014-07-15,641.0833333333333
2014-07-16,594.625
2014-07-17,567.2083333333333
2014-07-18,605.7916666666666
2014-07-19,650.0833333333334
2014-07-20,623.625
2014-07-21,532.125
2014-07-22,446.3333333333333
2014-07-23,416.125
2014-07-24,449.04166666666663
2014-07-25,493.7083333333333
2014-07-26,518.7916666666666
2014-07-27,506.12499999999994
2014-07-28,453.33333333333326
2014-07-29,399.08333333333337
2014-07-30,398.5833333333333
2014-07-31,440.125
2014-08-01,471.8333333333333
2014-08-02,490.9583333333333
2014-08-03,478.91666666666663
2014-08-04,440.66666666666663
2014-08-05,399.49999999999994
2014-08-06,387.7083333333333
2014-08-07,409.79166666666663
2014-08-08,459.08333333333326
2014-08-09,504.7916666666666
2014-08-10,516.75
2014-08-11,452.4583333333333
2014-08-12,393.45833333333326
2014-08-13,430.54166666666663
2014-08-14,485.04166666666663
2014-08-15,517.2083333333333
2014-08-16,535.2916666666666
2014-08-17,515.625
